model,slice,acc,mse
LR,1M,0.72,0.275
RF,1M,0.78,0.220
SVM,1M,0.73,0.267
MLP,1M,0.75,0.252
LR,2M,0.72,0.283
RF,2M,0.78,0.220
SVM,2M,0.73,0.268
MLP,2M,0.75,0.248
LR,3M,0.74,0.256
RF,3M,0.78,0.225
SVM,3M,0.77,0.235
MLP,3M,0.77,0.233
LR,4M,0.73,0.270
RF,4M,0.70,0.300
SVM,4M,0.70,0.304
MLP,4M,0.75,0.250
LR,5M,0.73,0.273
RF,5M,0.75,0.252
SVM,5M,0.75,0.253
MLP,5M,0.74,0.257
LR,6M,0.71,0.291
RF,6M,0.73,0.269
SVM,6M,0.72,0.283
MLP,6M,0.72,0.281
