model,slice,accuracy
LR,M_T2,0.753
RF,M_T2,0.778
SVM,M_T2,0.753
MLP,M_T2,0.741
LR,M_T3,0.778
RF,M_T3,0.778
SVM,M_T3,0.765
MLP,M_T3,0.802
LR,M_T4,0.79
RF,M_T4,0.802
SVM,M_T4,0.79
MLP,M_T4,0.765
LR,M_T5,0.79
RF,M_T5,0.778
SVM,M_T5,0.79
MLP,M_T5,0.765
