Class,Year,Epiweek,TAMPS,COA,NL,Federal
Infl,2009,14,0,0,2,0
Infl,2009,15,0,0,2,0
Infl,2009,16,0,0,1,0
Infl,2009,17,0,0,2,0
Infl,2009,18,0,0,0,0
Infl,2009,19,0,0,0,0
Infl,2009,20,0,0,0,0
Infl,2009,21,0,0,0,0
Infl,2009,22,0,0,0,0
Infl,2009,23,0,0,0,0
Infl,2009,24,10,0,0,1401
Infl,2009,25,3,0,0,795
Infl,2009,26,47,0,0,1447
Infl,2009,27,138,0,0,2377
Infl,2009,28,115,0,0,1333
Infl,2009,29,14,0,0,1038
Infl,2009,30,133,8,0,1710
Infl,2009,31,0,0,0,251
Infl,2009,32,363,7,1,1679
Infl,2009,33,68,2,7,1303
Infl,2009,34,NA,NA,NA,
Infl,2009,35,45,17,6,1239
Infl,2009,36,NA,NA,NA,
Infl,2009,37,113,45,2,4679
Infl,2009,38,26,30,1,3026
Infl,2009,39,155,16,20,4149
Infl,2009,40,140,9,30,5327
Infl,2009,41,168,11,37,5090
Infl,2009,42,104,5,36,5055
Infl,2009,43,138,20,0,2231
Infl,2009,44,150,96,50,7738
Infl,2009,45,34,24,32,2352
Infl,2009,46,26,22,66,1103
Infl,2009,47,16,21,63,860
Infl,2009,48,7,3,40,434
Infl,2009,49,18,6,61,771
Infl,2009,50,0,0,0,
Infl,2009,51,12,30,44,1142
Infl,2009,52,3,5,33,305
Infl,2010,1,0,0,3,46
Infl,2010,2,4,0,29,81
Infl,2010,3,1,0,38,144
Infl,2010,4,3,3,0,53
Infl,2010,5,10,1,70,226
Infl,2010,6,33,15,128,590
Infl,2010,7,5,3,26,192
Infl,2010,8,20,4,20,194
Infl,2010,9,7,1,12,140
Infl,2010,10,7,6,21,253
Infl,2010,11,4,2,8,232
Infl,2010,12,4,0,3,83
Infl,2010,13,0,0,2,52
Infl,2010,14,0,0,2,72
Infl,2010,15,0,0,0,29
Infl,2010,16,0,0,0,12
Infl,2010,17,0,0,0,10
Infl,2010,18,0,0,0,14
Infl,2010,19,0,0,0,4
Infl,2010,20,0,0,0,5
Infl,2010,21,0,0,0,0
Infl,2010,22,0,0,0,4
Infl,2010,23,0,0,0,3
Infl,2010,24,0,0,0,0
Infl,2010,25,0,0,0,2
Infl,2010,26,0,0,0,1
Infl,2010,27,0,0,0,1
Infl,2010,28,0,0,0,0
Infl,2010,29,0,0,0,1
Infl,2010,30,0,0,0,1
Infl,2010,31,0,0,0,0
Infl,2010,32,0,0,0,0
Infl,2010,33,0,0,0,2
Infl,2010,34,0,0,0,0
Infl,2010,35,0,0,0,1
Infl,2010,36,0,0,0,0
Infl,2010,37,0,0,0,0
Infl,2010,38,0,0,0,0
Infl,2010,39,0,0,0,0
Infl,2010,40,0,0,0,1
Infl,2010,41,0,0,0,0
Infl,2010,42,0,0,0,0
Infl,2010,43,0,0,0,0
Infl,2010,44,0,0,0,1
Infl,2010,45,0,0,0,0
Infl,2010,46,0,0,0,0
Infl,2010,47,0,0,0,0
Infl,2010,48,0,0,0,0
Infl,2010,49,0,0,0,0
Infl,2010,50,0,0,0,1
Infl,2010,51,0,0,0,0
Infl,2010,52,0,0,0,3
Infl,2011,1,0,0,0,1
Infl,2011,2,1,0,0,0
Infl,2011,3,0,0,1,1
Infl,2011,4,1,0,1,2
Infl,2011,5,0,0,0,0
Infl,2011,6,0,0,0,0
Infl,2011,7,0,0,2,4
Infl,2011,8,0,0,0,2
Infl,2011,9,0,0,0,4
Infl,2011,10,0,0,0,1
Infl,2011,11,0,0,0,16
Infl,2011,12,0,0,0,19
Infl,2011,13,0,0,0,16
Infl,2011,14,0,0,0,20
Infl,2011,15,0,0,0,0
Infl,2011,16,0,0,0,0
Infl,2011,17,0,0,0,0
Infl,2011,18,1,0,0,5
Infl,2011,19,0,0,0,0
Infl,2011,20,0,0,0,0
Infl,2011,21,0,0,0,0
Infl,2011,22,0,0,0,0
Infl,2011,23,0,0,0,0
Infl,2011,24,0,0,0,0
Infl,2011,25,0,0,0,0
Infl,2011,26,0,0,0,0
Infl,2011,27,0,0,0,0
Infl,2011,28,0,0,0,0
Infl,2011,29,0,0,0,0
Infl,2011,30,0,0,0,0
Infl,2011,31,0,0,0,0
Infl,2011,32,0,0,0,0
Infl,2011,33,0,0,0,0
Infl,2011,34,0,0,0,0
Infl,2011,35,0,0,0,0
Infl,2011,36,0,0,0,0
Infl,2011,37,0,0,0,0
Infl,2011,38,0,0,0,0
Infl,2011,39,0,0,0,0
Infl,2011,40,0,0,0,0
Infl,2011,41,0,0,0,0
Infl,2011,42,0,0,0,0
Infl,2011,43,0,0,0,0
Infl,2011,44,0,0,0,0
Infl,2011,45,0,0,0,0
Infl,2011,46,0,0,0,7
Infl,2011,47,0,0,0,0
Infl,2011,48,0,0,0,0
Infl,2011,49,0,0,0,0
Infl,2011,50,0,0,0,0
Infl,2011,51,0,0,0,41
Infl,2011,52,0,0,0,120
Infl,2012,1,0,0,0,70
Infl,2012,2,0,0,2,380
Infl,2012,3,4,1,12,643
Infl,2012,4,11,5,64,1292
Infl,2012,5,17,2,108,1115
Infl,2012,6,20,7,90,908
Infl,2012,7,11,5,71,606
Infl,2012,8,8,6,26,380
Infl,2012,9,4,4,48,356
Infl,2012,10,1,3,7,114
Infl,2012,11,2,1,5,66
Infl,2012,12,0,0,1,30
Infl,2012,13,1,0,2,27
Infl,2012,14,0,0,1,12
Infl,2012,15,1,0,0,8
Infl,2012,16,0,0,0,4
Infl,2012,17,0,0,0,0
Infl,2012,18,0,0,0,0
Infl,2012,19,0,0,0,0
Infl,2012,20,0,0,0,0
Infl,2012,21,0,0,0,0
Infl,2012,22,0,0,0,0
Infl,2012,23,0,0,0,0
Infl,2012,24,0,0,0,0
Infl,2012,25,0,0,0,0
Infl,2012,26,0,0,0,0
Infl,2012,27,0,0,0,0
Infl,2012,28,0,0,0,0
Infl,2012,29,0,0,0,0
Infl,2012,30,0,0,0,0
Infl,2012,31,0,0,0,0
Infl,2012,32,0,0,0,0
Infl,2012,33,0,0,0,0
Infl,2012,34,0,0,0,0
Infl,2012,35,0,0,0,0
Infl,2012,36,0,0,0,0
Infl,2012,37,0,0,0,0
Infl,2012,38,0,0,0,7
Infl,2012,39,0,0,0,0
Infl,2012,40,0,0,0,0
Infl,2012,41,0,0,0,0
Infl,2012,42,0,0,0,0
Infl,2012,43,0,0,0,0
Infl,2012,44,0,0,0,0
Infl,2012,45,0,0,0,0
Infl,2012,46,0,0,0,0
Infl,2012,47,0,0,0,0
Infl,2012,48,0,0,0,0
Infl,2012,49,0,0,0,0
Infl,2012,50,0,0,0,9
Infl,2012,51,0,0,0,0
Infl,2012,52,0,0,0,0
Infl,2013,1,0,0,0,1
Infl,2013,2,0,0,0,1
Infl,2013,3,0,0,0,0
Infl,2013,4,0,0,0,0
Infl,2013,5,0,0,0,0
Infl,2013,6,0,0,0,5
Infl,2013,7,0,0,0,1
Infl,2013,8,0,0,0,5
Infl,2013,9,0,0,0,2
Infl,2013,10,0,0,0,3
Infl,2013,11,0,0,0,0
Infl,2013,12,0,0,0,0
Infl,2013,13,0,0,0,3
Infl,2013,14,0,0,2,6
Infl,2013,15,0,0,1,6
Infl,2013,16,0,0,0,2
Infl,2013,17,0,0,0,5
Infl,2013,18,0,0,0,4
Infl,2013,19,0,0,0,3
Infl,2013,20,0,0,0,0
Infl,2013,21,0,0,0,2
Infl,2013,22,0,0,0,3
Infl,2013,23,0,0,0,3
Infl,2013,24,0,0,0,8
Infl,2013,25,0,0,0,17
Infl,2013,26,0,0,0,30
Infl,2013,27,0,0,0,15
Infl,2013,28,0,0,0,27
Infl,2013,29,0,0,0,9
Infl,2013,30,0,0,1,14
Infl,2013,31,0,0,0,5
Infl,2013,32,0,0,0,6
Infl,2013,33,0,0,0,0
Infl,2013,34,0,0,0,34
Infl,2013,35,0,0,0,5
Infl,2013,36,0,0,0,8
Infl,2013,37,0,0,0,6
Infl,2013,38,0,0,0,16
Infl,2013,39,1,0,0,8
Infl,2013,40,5,0,0,20
Infl,2013,41,0,0,0,8
Infl,2013,42,1,0,0,8
Infl,2013,43,0,0,0,4
Infl,2013,44,1,0,6,17
Infl,2013,45,2,0,3,20
Infl,2013,46,2,0,3,17
Infl,2013,47,1,0,15,33
Infl,2013,48,2,1,11,36
Infl,2013,49,8,0,31,88
Infl,2013,50,4,5,42,98
Infl,2013,51,7,10,44,152
Infl,2013,52,0,0,6,48
Infl,2014,1,1,1,11,93
Infl,2014,2,6,10,24,463
Infl,2014,3,7,13,85,1054
Infl,2014,4,17,20,80,1590
Infl,2014,5,9,21,94,1847
Infl,2014,6,29,21,106,2661
Infl,2014,7,16,22,104,2707
Infl,2014,8,30,23,114,3143
Infl,2014,9,0,0,1,392
Infl,2014,10,1,0,1,240
Infl,2014,11,1,0,2,387
Infl,2014,12,0,0,0,145
Infl,2014,13,0,0,0,86
Infl,2014,14,0,0,0,56
Infl,2014,15,0,0,0,63
Infl,2014,16,0,0,0,12
Infl,2014,17,0,0,0,25
Infl,2014,18,0,0,0,22
Infl,2014,19,1,0,1,36
Infl,2014,20,0,0,1,11
Infl,2014,21,0,0,1,28
Infl,2014,22,2,0,0,19
Infl,2014,23,0,0,0,14
Infl,2014,24,0,0,1,24
Infl,2014,25,0,0,0,25
Infl,2014,26,0,0,0,13
Infl,2014,27,0,0,0,11
Infl,2014,28,0,0,1,23
Infl,2014,29,2,0,0,18
Infl,2014,30,0,0,0,16
Infl,2014,31,1,0,1,26
Infl,2014,32,0,0,0,18
Infl,2014,33,0,0,1,23
Infl,2014,34,0,0,0,21
Infl,2014,35,0,0,0,37
Infl,2014,36,0,0,0,14
Infl,2014,37,0,0,0,44
Infl,2014,38,0,0,0,37
Infl,2014,39,0,0,1,52
Infl,2014,40,1,0,0,65
Infl,2014,41,1,0,1,41
Infl,2014,42,3,0,3,61
Infl,2014,43,2,0,8,59
Infl,2014,44,2,1,5,61
Infl,2014,45,0,0,8,52
Infl,2014,46,0,0,3,42
Infl,2014,47,0,0,22,60
Infl,2014,48,0,2,16,64
Infl,2014,49,0,1,35,124
Infl,2014,50,1,3,55,160
Infl,2014,51,4,2,50,196
Infl,2014,52,1,0,51,207
Infl,2014,53,3,1,28,153
Infl,2015,1,27,3,3,181
Infl,2015,2,1,6,35,169
Infl,2015,3,2,4,21,180
Infl,2015,4,3,4,16,155
Infl,2015,5,1,9,9,111
Infl,2015,6,2,2,6,122
Infl,2015,7,1,0,7,101
Infl,2015,8,1,3,6,103
Infl,2015,9,0,0,0,0
Infl,2015,10,0,0,1,11
Infl,2015,11,0,1,6,50
Infl,2015,12,0,0,2,52
Infl,2015,13,0,0,4,20
Infl,2015,14,0,0,1,20
Infl,2015,15,1,0,0,15
Infl,2015,16,1,0,0,24
Infl,2015,17,0,0,0,9
Infl,2015,18,0,0,0,14
Infl,2015,19,0,0,0,17
Infl,2015,20,0,0,0,10
Infl,2015,21,0,0,0,96
Infl,2015,22,0,0,0,5
Infl,2015,23,0,0,0,9
Infl,2015,24,0,0,0,4
Infl,2015,25,0,0,0,8
Infl,2015,26,0,0,0,15
Infl,2015,27,0,0,0,9
Infl,2015,28,0,0,0,5
Infl,2015,29,0,0,0,11
Infl,2015,30,0,0,0,10
Infl,2015,31,0,0,0,5
Infl,2015,32,0,0,0,6
Infl,2015,33,0,0,0,9
Infl,2015,34,0,0,0,9
Infl,2015,35,0,0,0,3
Infl,2015,36,0,0,0,4
Infl,2015,37,0,0,0,6
Infl,2015,38,0,0,0,9
Infl,2015,39,0,0,0,6
Infl,2015,40,0,0,0,7
Infl,2015,41,0,0,0,12
Infl,2015,42,0,0,0,16
Infl,2015,43,0,0,0,8
Infl,2015,44,0,0,3,14
Infl,2015,45,0,0,0,9
Infl,2015,46,2,0,1,16
Infl,2015,47,1,0,1,15
Infl,2015,48,1,0,0,16
Infl,2015,49,0,1,4,26
Infl,2015,50,0,0,4,34
Infl,2015,51,2,0,3,40
Infl,2015,52,0,0,6,37
Infl,2016,1,1,2,10,38
Infl,2016,2,2,0,19,136
Infl,2016,3,3,0,20,176
Infl,2016,4,2,3,35,241
Infl,2016,5,2,5,22,396
Infl,2016,6,0,9,56,686
Infl,2016,7,3,16,37,807
Infl,2016,8,7,20,36,1130
Infl,2016,9,5,0,8,79
Infl,2016,10,60,19,26,1323
Infl,2016,11,6,6,2,770
Infl,2016,12,2,7,4,508
Infl,2016,13,6,3,3,339
Infl,2016,14,5,0,1,315
Infl,2016,15,4,1,2,106
Infl,2016,16,0,0,0,68
Infl,2016,17,2,0,1,127
