State,Year,Week,Men,Women,MenN,WomenN
COA,2015,43,0,0,0.0,0.0
COA,2015,44,0,0,0.0,0.0
COA,2015,45,1,0,7.3303195946e-07,0.0
COA,2015,46,0,2,0.0,1.44488417086e-06
COA,2015,47,0,0,0.0,0.0
COA,2015,48,0,0,0.0,0.0
COA,2015,49,0,0,0.0,0.0
COA,2015,50,0,0,0.0,0.0
COA,2015,51,0,1,0.0,7.2244208543e-07
COA,2015,52,0,0,0.0,0.0
COA,2016,1,0,0,0.0,0.0
COA,2016,2,0,0,0.0,0.0
COA,2016,3,0,0,0.0,0.0
COA,2016,4,0,0,0.0,0.0
COA,2016,5,0,0,0.0,0.0
COA,2016,6,0,0,0.0,0.0
COA,2016,7,0,0,0.0,0.0
COA,2016,8,0,0,0.0,0.0
COA,2016,9,0,0,0.0,0.0
COA,2016,10,0,0,0.0,0.0
COA,2016,11,0,0,0.0,0.0
COA,2016,12,0,0,0.0,0.0
COA,2016,13,0,0,0.0,0.0
COA,2016,14,0,0,0.0,0.0
COA,2016,15,0,0,0.0,0.0
COA,2016,16,0,0,0.0,0.0
COA,2016,17,0,0,0.0,0.0
COA,2016,18,0,0,0.0,0.0
COA,2016,19,0,0,0.0,0.0
COA,2016,20,0,0,0.0,0.0
