model,slice,acc,mse,time
LR,2H,0.75,0.506,1.84
RF,2H,0.78,0.444,12.52
SVM,2H,0.75,0.543,13.31
MLP,2H,0.74,0.593,10.56
LR,3H,0.78,0.407,1.49
RF,3H,0.78,0.407,14.92
SVM,3H,0.77,0.494,12.39
MLP,3H,0.80,0.346,9.63
LR,4H,0.79,0.469,1.51
RF,4H,0.80,0.383,14.06
SVM,4H,0.79,0.469,10.95
MLP,4H,0.77,0.494,9.19
LR,5H,0.79,0.469,1.49
RF,5H,0.78,0.407,12.82
SVM,5H,0.79,0.469,13.42
MLP,5H,0.77,0.494,15.05
